priority,batch_name,finding_ids,goal,scope_summary,main_files_or_areas,estimated_risk_reduction,verification_gates,branch_name,pr_title
P0,Align service and worker deployment wiring with runtime settings,NOVA-AUDIT-001;NOVA-AUDIT-002;NOVA-AUDIT-010,Make ECS service and worker artifacts deployable against the current runtime settings contract.,"Replace dead/stale env names, fix worker command, wire canonical JOBS/CACHE/AUTH vars, add semantic compatibility tests.",infra/runtime/ecs/service.yml; infra/runtime/file_transfer/worker.yml; scripts/release/deploy-runtime-cloudformation-environment.sh; tests/infra/**; packages/nova_file_api/src/nova_file_api/config.py,Very high,Rendered task definition parity tests; worker image entrypoint check; startup smoke,fix/runtime-config-contract,fix: align ecs service and worker templates with canonical runtime settings
P1,Restore locked reproducibility,NOVA-AUDIT-006,Make clean locked installs work again in CI and developer environments.,Regenerate uv.lock and restore successful `uv lock --check` / `uv sync --locked` behavior.,uv.lock; pyproject.toml; CI references,High,uv lock --check; uv sync --locked,chore/refresh-uv-lock,chore: regenerate uv lockfile and restore locked installs
P1,[Completed 2026-03-17] Remove broad default task permissions and finish secret wiring migration,NOVA-AUDIT-005,Completed: shrink AWS blast radius and remove legacy ECS service secret/task-role shims.,"Deleted the external TaskRole path, made the ECS service stack own the repo-managed task role, removed legacy generic execution-secret overrides, and kept cache secret injection on ECS secrets.",infra/runtime/ecs/service.yml; scripts/release/deploy-runtime-cloudformation-environment.sh; tests/infra/**; active docs/runbooks,High,Focused infra contract tests; CFN lint; bash syntax; uv lock --check,feat/repo-managed-ecs-task-role,hardening: repo-manage ecs service task role and remove legacy secret shims
P0,[Completed 2026-03-16] Hard-cut shared idempotency and scoped readiness,NOVA-AUDIT-003;NOVA-AUDIT-004,Completed: make runtime correctness and readiness match the current strict shared-idempotency contract.,"Shipped one strict surface: `IDEMPOTENCY_ENABLED` requires shared cache, idempotency fails closed without local-only mutation fallback, and readiness gates only traffic-critical dependencies.",packages/nova_file_api/src/nova_file_api/config.py; cache.py; idempotency.py; routes/platform.py; tests,Very high,Failure-injection tests; shared-claim concurrency tests; readiness scoping tests; infra contract tests,fix/strict-shared-idempotency,fix: hard-cut idempotency to shared fail-closed semantics
P1,[Completed 2026-03-14] Re-establish the bridge as an adapter instead of a contract fork,NOVA-AUDIT-007;NOVA-AUDIT-008;NOVA-AUDIT-011,Completed in PR #53: remove hidden coupling and duplicated contract models from nova_dash_bridge.,"Shipped `nova_file_api.public`, moved bridge-owned tests into the package, adopted FastAPI lifespan, and restored typed request/response boundaries in the same batch.",packages/nova_dash_bridge/**; packages/nova_file_api/src/nova_file_api/public/**,High,Architectural import tests; bridge integration tests; contract smoke tests,refactor/dash-bridge-public-facade,refactor: re-establish dash bridge public facade
P1,[Completed 2026-03-14] Extract guarded mutation workflow from route handlers,NOVA-AUDIT-009,Completed in PR #53: reduce duplicated mutation lifecycle logic and make idempotency changes safer.,"Introduced a reusable guarded-mutation workflow helper for replay, claim, cleanup, metrics, and activity recording, then rewired upload initiation and job enqueue to use it.",packages/nova_file_api/src/nova_file_api/routes/transfers.py; routes/jobs.py; new workflow module; tests,Medium-high,Workflow unit tests; endpoint integration parity tests,refactor/dash-bridge-public-facade,refactor: re-establish dash bridge public facade
P2,Harden CI and test import behavior,NOVA-AUDIT-012,Make clean-environment CI more deterministic and less path-sensitive.,"Pin uv, enable cache persistence/pruning, reduce pythonpath reliance, move toward importlib mode.",pyproject.toml; .github/workflows/ci.yml; .github/actions/setup-python-uv/action.yml,Medium,Clean-cache CI run; pytest collection under importlib mode,chore/ci-uv-pytest-hardening,"chore: pin uv, enable cache management, and move pytest toward importlib mode"
P2,Repair docs and runbooks after code/template truth is restored,NOVA-AUDIT-001;NOVA-AUDIT-002;NOVA-AUDIT-003;NOVA-AUDIT-004;NOVA-AUDIT-005;NOVA-AUDIT-010,Stop the docs from teaching operators a runtime that does not exist.,"Reconcile specs, release guide, README, and runbooks with the enforced runtime contract.",README.md; docs/architecture/spec/**; docs/plan/**; docs/runbooks/**,Medium,Docs-vs-contract checks; reviewed examples,docs/runtime-contract-reconciliation,docs: reconcile runtime configuration and worker deployment guidance
P2,Add machine-readable config contract generation,NOVA-AUDIT-001;NOVA-AUDIT-002;NOVA-AUDIT-003;NOVA-AUDIT-004;NOVA-AUDIT-010,Prevent settings/templates/docs/tests from drifting again.,Generate a canonical env matrix from code or a dedicated contract schema and use it to validate templates/docs.,config schema generation; template tests; docs generation,High long-term,Generated matrix in CI; template/docs parity tests,build/config-contract-matrix,"build: generate canonical runtime configuration contract for code, templates, and docs"
P2,Add layered architecture enforcement tests,NOVA-AUDIT-007;NOVA-AUDIT-010,Make the documented package boundaries executable.,Add import-graph or static boundary tests and enforce allowed public façades.,tests; architecture guard helpers,Medium-high,CI import-rule tests; boundary smoke tests,test/enforce-component-boundaries,test: enforce runtime package boundaries and template compatibility contracts
